# MUV Phi err_m err_p initial_comoving_distance delta_Muv
-1.890000000000e+01 8.600000000000e-05 1.021040000000e-04 1.531560000000e-04 9.440249626398e+03 1.000000000000e+00
-1.790000000000e+01 7.460000000000e-04 8.717100000000e-04 9.190314000000e-04 9.440249626398e+03 1.000000000000e+00
-2.257000000000e+01 1.800000000000e-07 2.034750000000e-07 5.697300000000e-07 9.440249626398e+03 1.000000000000e+00
-2.010000000000e+01 1.620000000000e-05 1.298430000000e-05 2.646324000000e-05 9.440249626398e+03 1.000000000000e+00
-1.935000000000e+01 1.360000000000e-04 5.716527000000e-05 8.156064000000e-05 9.440249626398e+03 7.500000000000e-01
-1.885000000000e+01 2.349000000000e-04 9.217536000000e-05 1.284214000000e-04 9.440249626398e+03 5.000000000000e-01
-1.823000000000e+01 6.308000000000e-04 2.762448000000e-04 4.031040000000e-04 9.440249626398e+03 6.200000000000e-01
-2.125000000000e+01 1.000000000000e-06 8.000000000000e-07 2.200000000000e-06 9.440249626398e+03 1.000000000000e+00
-2.025000000000e+01 1.000000000000e-05 5.000000000000e-06 1.000000000000e-06 9.440249626398e+03 1.000000000000e+00
-1.925000000000e+01 3.400000000000e-05 2.200000000000e-05 4.500000000000e-05 9.440249626398e+03 1.000000000000e+00
-1.825000000000e+01 1.900000000000e-04 1.200000000000e-04 2.500000000000e-04 9.440249626398e+03 1.000000000000e+00
-1.725000000000e+01 6.300000000000e-04 5.200000000000e-04 1.490000000000e-03 9.440249626398e+03 1.000000000000e+00
